,Bitcoin_target_next_return
Bitcoin_extreme_return_flag,0.09566479031049319
USD Index_lag2,0.07536740675713707
USD Index_rollvol5,-0.061598386890758736
Bitcoin_lag2,0.060981961309664934
Gold_corr_with_Bitcoin_60d,0.056666279378311826
Ethereum_vol_ratio_5_20,-0.05520992558549921
Silver_mom5,-0.05317136739543579
Silver_rollmean5,-0.053171367395435785
Gold_lag3,-0.0528594356343824
Silver_lag2,-0.05245360526389661
Ethereum_lag5,-0.051912035631958835
USD Index_vol_ratio_20_60,-0.04964937369234267
WTI Oil_lag2,0.0494846492387346
USD Index_mom60,-0.04862344697411366
Silver_corr_with_Bitcoin_60d,0.04669438844541922
Silver_lag3,-0.0465778856980063
Bitcoin_mom60,0.04614196663019269
USD Index_vol_ratio_5_20,-0.04496519562735202
Silver_drawdown_60d,-0.04157215691443376
Gold_rollmean5,-0.040901600692816974
Gold_mom5,-0.04090160069281687
Silver_rollvol5,0.03930176861881607
Bitcoin_vol_ratio_5_20,-0.03924583237157074
WTI Oil_high_vol_regime,-0.037131054341915756
Silver_rollvol10,0.03687263887086001
Ethereum_minus_Gold_return,-0.036821401699867425
WTI Oil_drawdown_252d,-0.03593253226339016
Crypto_avg_return,-0.035072036637612
Bitcoin_high_vol_regime,0.03442924843824194
USD Index_rollvol10,-0.03366772913298801
Gold_vol_ratio_20_60,-0.033170609240042954
USD Index_rollvol20,-0.032233555759348276
Silver_rollvol20,0.03206482161655132
Silver_lag5,0.03187023389526906
Ethereum_lag2,0.031646957406603705
USD Index_mom5,0.03129616590390261
USD Index_rollmean5,0.03129616590390255
Gold_drawdown_60d,-0.03116694452796197
Crypto_minus_Metal_return,-0.030691118022906347
Bitcoin_USD_return_spread,-0.03063293651456503
USD Index_lag1,-0.030047971091574185
Gold_mom60,-0.02996535993756513
WTI Oil_vol_ratio_5_20,-0.029579204084747634
Bitcoin_drawdown_252d,0.028031476638777086
Bitcoin_mom20,0.027682710656781212
Bitcoin_rollmean20,0.02768271065678119
BTC_ETH_return_spread,0.027648197646080685
Bitcoin_minus_Gold_return,-0.027464834198113755
USD Index_corr_with_Bitcoin_60d,-0.027435109855304878
Ethereum_rollvol5,-0.02730745712288577
WTI Oil_lag1,-0.027283644266760276
Bitcoin_rollmean10,0.026776848926843757
Bitcoin_mom10,0.026776848926843684
WTI Oil_lag5,-0.02565573709921512
Ethereum_lag1,0.025477515822706954
Gold_Silver_return_spread,0.02430082618255136
Gold_lag1,0.023598371055388544
WTI Oil_corr_with_Bitcoin_20d,0.023341835740210176
Bitcoin_drawdown_60d,0.02311125944643075
Bitcoin_rollvol20,0.022798888449397967
WTI Oil_rollmean20,-0.021854862196079003
WTI Oil_mom20,-0.02185486219607896
Bitcoin_lag1,0.02175529675526429
Bitcoin_lag5,-0.021617028074973628
Silver_mom60,-0.021393151472857665
Gold_lag5,0.02070740319532094
Ethereum_high_vol_regime,0.02063939991846915
USD Index_rollmean10,0.02061568990986294
USD Index_mom10,0.020615689909862882
Gold_vol_ratio_5_20,-0.020179401856627782
Silver_lag1,0.02004749275685558
WTI Oil_rollvol20,0.019674153157448283
Ethereum_mom60,0.019392193125811547
Ethereum_mom20,-0.01877638927804816
Ethereum_rollmean20,-0.01877638927804812
WTI Oil_rollvol10,0.018676204414217887
Silver_vol_ratio_20_60,-0.018146389744434843
Gold_rollvol10,-0.017314691915446354
Gold_lag2,-0.017256672604046782
USD Index_extreme_return_flag,-0.01601028880685855
Metal_avg_return,-0.015573484805627548
Silver_rollmean20,-0.01468320807339069
Silver_mom20,-0.014683208073390687
Ethereum_lag3,0.014625361537897221
Gold_USD_return_spread,-0.014309832945426957
WTI Oil_vol_ratio_20_60,0.014041159089405595
Ethereum_rollvol20,0.013974489368174515
Bitcoin_rollmean5,0.013404599022635053
Bitcoin_mom5,0.013404599022635027
Ethereum_corr_with_Bitcoin_20d,0.01289806689317838
USD Index_lag3,-0.01222833634235695
Silver_vol_ratio_5_20,0.011714959355352716
WTI Oil_extreme_return_flag,-0.011433977351474734
Gold_rollmean20,-0.010954624037176883
Gold_mom20,-0.010954624037176841
Silver_drawdown_252d,-0.010086991240167383
WTI Oil_mom5,0.009923089441168388
WTI Oil_rollmean5,0.009923089441168386
Ethereum_rollvol10,-0.009788872401127628
Ethereum_corr_with_Bitcoin_60d,0.008615042913604647
Ethereum_mom5,-0.008484481465247032
Ethereum_rollmean5,-0.008484481465247017
WTI Oil_rollvol5,0.008482930900303517
Gold_drawdown_252d,0.008357960606038937
Bitcoin_vol_ratio_20_60,0.00833924328966356
Ethereum_extreme_return_flag,0.00816638235004035
WTI Oil_rollmean10,-0.007270110661360005
WTI Oil_mom10,-0.007270110661359996
WTI Oil_lag3,-0.007076834794033393
Gold_corr_with_Bitcoin_20d,-0.006907657937557904
Silver_rollmean10,-0.006720458226808961
Silver_mom10,-0.006720458226808945
Ethereum_drawdown_60d,0.005927076030073295
Gold_extreme_return_flag,-0.005802476053750655
USD Index_corr_with_Bitcoin_20d,-0.005677151369209472
WTI Oil_drawdown_60d,0.005409652865308875
Gold_rollvol5,-0.0050297113597588235
Silver_corr_with_Bitcoin_20d,0.004874268422891329
Gold_rollvol20,0.004622829379607978
Silver_high_vol_regime,-0.004280840561082874
WTI Oil_mom60,0.003861837778574027
Ethereum_mom10,-0.0032717683316466615
Ethereum_rollmean10,-0.003271768331646616
Ethereum_vol_ratio_20_60,-0.0027215307401668985
WTI Oil_corr_with_Bitcoin_60d,-0.0022980870977745978
USD Index_lag5,-0.002293459807796368
Silver_extreme_return_flag,-0.0021317396473156014
USD Index_mom20,0.0018674815101579797
USD Index_rollmean20,0.001867481510157955
Ethereum_drawdown_252d,-0.0009951509491985613
Bitcoin_rollvol5,0.0008991027620229973
Bitcoin_rollvol10,-0.00024778628421576865
Gold_mom10,-0.00021818011817579687
Gold_rollmean10,-0.00021818011817572596
Bitcoin_lag3,0.0002165218849351548
